id,"show","title",order
1855,"109","Clarabella/Pick A Bail of Cotton/I Think I Smell a Rat",3
1856,"109","Jolene (D.Parton)",4
1857,"109","Hotel Yorba",5
1858,"109","Jimmy the Exploder/For the Love of Ivy",6
1859,"109","Lovesick",7
1860,"109","We’re Going to be Friends",8
1861,"109","Stop Breaking Down/Little Bird",9
1862,"109","Shine On Harvest Moon",10
1863,"109","You’re Pretty Good Looking",11
1864,"109","Hello Operator/Lafayette Blues",12
1865,"109","Little Room",13
1866,"109","The Union Forever",14
1867,"109","Rated X (Lynn)",15
1868,"109","Apple Blossom",16
1869,"109","Lord, Send Me an Angel",17
1870,"109","Wasting My Time/Good to Me",18
1871,"109","Let’s Build a Home/Goin’ Back to Memphis",19
1872,"109","Screwdriver",20
1873,"109","Boll Weevil (Leadbelly)",21
1874,"110","Dead Leaves and the Dirty Ground",0
1875,"110","I Think I Smell A Rat",1
1876,"110","When I Hear My Name",2
1877,"110","Jolene (D.Parton)",3
1878,"110","Hotel Yorba",4
1879,"110","Death Letter (Son House)/Motherless Children Have A Hard Time/Death Letter (Son House)",5
1880,"110","Lord, Send Me An Angel",6
1881,"110","Apple Blossom",7
1882,"110","Ball and Biscuit",8
1883,"110","Jimmy The Exploder",9
1884,"110","Clarabella",10
1885,"110","Baby Blue (Vincent)",11
1886,"110","We’re Going To Be Friends",12
1887,"110","Offend In Every Way",13
1888,"110","Look Me Over Closely",14
1889,"110","Lafayette Blues",15
1890,"110","Wasting My Time",16
1891,"110","Little Room/Party Of Special Things To Do/The Union Forever",17
1892,"110","St. James Infirmary Blues",18
1893,"110","You’re Pretty Good Looking/Rated X (Lynn)",19
1894,"110","Screwdriver",20
1895,"110","I Fought Piranhas/Let’s Build A Home/Going Back To Memphis",21
1896,"111","Dead Leaves and the Dirty Ground",0
1897,"111","When I Hear My Name",1
1898,"111","I Think I Smell A Rat",2
1899,"111","Love Sick",3
1900,"111","Hotel Yorba",4
1901,"111","Lord, Send Me An Angel",5
1902,"111","Lafayette Blues",6
1903,"111","Ball and Biscuit",7
1904,"111","Jimmy The Exploder",8
1905,"111","Death Letter (Son House)/?/Grinnin’ In Your Face",9
1906,"111","We’re Going To Be Friends",10
1907,"111","Apple Blossom",11
1908,"111","Little Room/The Union Forever",12
1909,"111","Truth Doesn’t Make A Noise",13
1910,"111","Rated X (Lynn)",14
1911,"111","Fell In Love With A Girl",15
1912,"111","You’re Pretty Good Looking",16
1913,"111","Hello Operator",17
1914,"111","Wasting My Time",18
1915,"111","Baby Blue (Vincent)",19
1916,"111","Astro",20
1917,"111","Jack The Ripper (Screaming Lord Sutch)",21
1918,"111","Boll Weevil (Leadbelly)",22
1919,"112","Dead Leaves and the Dirty Ground",0
1920,"112","When I Hear My Name",1
1921,"112","Jolene (D.Parton)",2
1922,"112","Hotel Yorba",3
1923,"112","Lord, Send Me An Angel",4
1924,"112","Jimmy The Exploder",5
1925,"112","Death Letter (Son House)",6
1926,"112","Fell In Love With A Girl",7
1927,"112","Cannon",8
1928,"112","St James Infirmary Blues",9
1929,"112","Apple Blossom",10
1930,"112","Ball and Biscuit",11
1931,"112","We’re Going To Be Friends",12
1932,"112","Love Sick",13
1933,"112","Little Room/The Union Forever",14
1934,"112","Rated X (Lynn)",15
1935,"112","Astro/Jack The Ripper (Screaming Lord Sutch)",16
1936,"112","Lafayette Blues",17
1937,"112","You’re Pretty Good Looking",18
1938,"112","Hello Operator",19
1939,"112","I Fought Piranhas",20
1940,"112","Let’s Build A Home",21
1941,"112","Screwdriver",22
1942,"112","Boll Weevil (Leadbelly)",23
1943,"113","Let’s Shake Hands",0
1944,"113","I Think I Smell a Rat",1
1945,"113","Dead Leaves and the Dirty Ground",2
1946,"113","Hotel Yorba",3
1947,"113","Apple Blossom",4
1948,"113","You’re Pretty Good Looking",5
1949,"113","Hello Operator",6
1950,"113","I’m Finding It Harder To Be A Gentleman",7
1951,"113","Stop Breaking Down",8
1952,"113","Look Me Over Closely",9
1953,"113","Offend In Every Way",10
1954,"113","Suzy Lee",11
1955,"113","Let’s Build A Home/Party Of Special Things To Do",12
1956,"113","I Just Don’t Know What To Do With Myself (Bacharach)",13
1957,"113","Ball and Biscuit",14
1958,"113","We’re Going To Be Friends",15
1959,"113","Isis (Dylan)",16
1960,"113","Sugar Never Tasted So Good",17
1961,"113","Wasting My Time",18
1962,"113","Astro",19
1963,"113","I Fought Piranhas",20
1964,"113","Fell In Love With A Girl",21
1965,"113","Cannon/John The Revelator",22
1966,"113","Good To Me",23
1967,"113","Screwdriver",24
1968,"113","Rated X (Lynn)",25
1969,"113","Boll Weevil (Leadbelly)",26
1970,"114","Dead Leaves and the Dirty Ground",0
1971,"114","I Think I Smell A Rat",1
1972,"114","Jolene (D.Parton)",2
1973,"114","Hotel Yorba",3
1974,"114","Lord, Send me an Angel",4
1975,"114","Apple Blossom",5
1976,"114","Ball and Biscuit",6
1977,"114","I’m Finding It Harder To Be A Gentleman/Wasting My Time",7
1978,"114","Death Letter (Son House)/Motherless Children Have A Hard Time",8
1979,"114","Lovesick",9
1980,"114","Little Room/Pick A Bail Of Cotton",10
1981,"114","The Union Forever",11
1982,"114","We’re Going To Be Friends",12
1983,"114","Rated X (Lynn)",13
1984,"114","Astro/Jack The Ripper (Screaming Lord Sutch)/Lafayette Blues",14
1985,"114","Fell In Love With A Girl",15
1986,"114","Cannon",16
1987,"114","Offend In Every Way",17
1988,"114","Screwdriver",18
1989,"114","You’re Pretty Good Looking",19
1990,"114","Hello Operator",20
1991,"114","Boll Weevil (Leadbelly)",21
1992,"115","Dead Leaves and the Dirty Ground",0
1993,"115","Let’s Shake Hands",1
1994,"115","I Think I Smell A Rat",2
1995,"115","Jolene (D.Parton)",3
1996,"115","Jimmy The Exploder",4
1997,"115","Ball and Biscuit",5
1998,"115","Apple Blossom",6
1999,"115","Do",7
2000,"115","You’re Pretty Good Looking",8
2001,"115","Stop Breaking Down/Little Bird",9
2002,"115","Warming Up For The Love of Ivy",10
2003,"115","For The Love of Ivy",11
2004,"115","Little Room",12
2005,"115","Union Forever",13
2006,"115","Lord, Send Me An Angel",14
2007,"115","This Protector",15
2008,"115","Broken Bricks",16
2009,"115","Cannon",17
2010,"115","I Just Don’t Know What To Do With Myself (Bacharach)",18
2011,"115","We’re Going To Be Friends",19
2012,"115","Isis (Dylan)",20
2013,"115","Look Me Over Closely",21
2014,"115","The Big Three Killed My Baby",22
2015,"115","Rated X (Lynn)",23
2016,"116","Fell In love With a Girl",0
2017,"116","Dead Leaves and the Dirty Ground",1
2018,"116","I Think I Smell A Rat",2
2019,"117","Dead Leaves and the Dirty Ground",0
2020,"117","I Think I Smell A Rat",1
2021,"117","Death Letter (Son House)",2
2022,"117","Motherless Children Have A Hard Time",3
2023,"117","Hotel Yorba",4
2024,"117","Lord, Send Me An Angel",5
2025,"117","Apple Blossom",6
2026,"117","Good To Me/Astro",7
2027,"117","Jack The Ripper (Screaming Lord Sutch)",8
2028,"117","Jolene (D.Parton)",9
2029,"117","Ball and Biscuit",10
2030,"117","We’re Gonna Be Friends",11
2031,"117","Lovesick",12
2032,"117","Offend In Every Way",13
2033,"117","You’re Pretty Good Looking",14
2034,"117","Hello Operator",15
2035,"117","Cannon",16
2036,"117","Jimmy The Exploder",17
2037,"117","I Just Don’t Know What To Do With Myself (Bacharach)",18
2038,"117","You Belong To Me",19
2039,"117","Little Room",20
2040,"117","The Union Forever",21
2041,"117","Rated X (Lynn)",22
2042,"117","Boll Weevil (Leadbelly)",23
2043,"118","Dead Leaves and the Dirty Ground",0
2044,"118","Ball and Biscuit",1
2045,"118","St. James Infirmary Blues",2
2046,"118","Look me Over Closely",3
2047,"118","I Think I Smell A Rat",4
2048,"118","Little Room",5
2049,"118","The Union Forever",6
2050,"118","Rated X (Lynn)",7
2051,"119","Dead Leaves and the Dirty Ground",0
2052,"119","I Think I Smell A Rat",1
2053,"119","Hotel Yorba",2
2054,"119","Apple Blossom",3
2055,"119","Jimmy the Exploder",4
2056,"119","Ball and Biscuit",5
2057,"119","We’re Going to Be Friends",6
2058,"119","You’re Pretty Good Looking",7
2059,"119","Hello Operator",8
2060,"119","I’m Finding It Harder to Be a Gentleman",9
2061,"119","Sugar Never Tasted So Good",10
2062,"119","I Fought Piranhas",11
2063,"119","Let’s Build a Home",12
2064,"119","Goin’ Back to Memphis",13
2065,"119","Offend in Every Way",14
2066,"119","Wasting My Time",15
2067,"119","Little Room",16
2068,"119","The Union Forever",17
2069,"119","Screwdriver",18
2070,"119","Fell in Love with a Girl",19
2071,"119","Boll Weevil (Leadbelly)",20
2072,"120","Dead Leaves and the Dirty Ground",0
2073,"120","When I Hear My Name",1
2074,"120","I Think I Smell A Rat",2
2075,"120","Hotel Yorba",3
2076,"120","Apple Blossom",4
2077,"120","Jolene (D.Parton)",5
2078,"120","Jimmy The Exploder",6
2079,"120","Ball and Biscuit",7
2080,"120","Love Sick",8
2081,"120","Death Letter (Son House)/Little Bird/Death Letter (Son House)",9
2082,"120","I’m Finding It Harder To Be A Gentleman",10
2083,"120","The Big Three Killed My Baby",11
2084,"120","Wasting My Time",12
2085,"120","Baby Blue (Vincent)",13
2086,"120","We’re Going To Be Friends",14
2087,"120","Astro/Jack The Ripper (Screaming Lord Sutch)",15
2088,"120","I Fought Piranhas/Let’s Build A Home",16
2089,"120","You’re Pretty Good Looking",17
2090,"120","Lord, Send Me An Angel",18
2091,"120","St. James Infirmary Blues",19
2092,"120","Screwdriver",20
2093,"120","Fell In Love With A Girl/Little Room/The Union Forever",21
2094,"121","Little Room",0
2095,"121","Dead Leaves and the Dirty Ground",1
2096,"121","When I Hear My Name",2
2097,"121","Jolene (D.Parton)",3
2098,"121","Hotel Yorba",4
2099,"121","Apple Blossom",5
2100,"121","Ball and Biscuit",6
2101,"121","Death Letter (Son House)",7
2102,"121","Rated X (Lynn)",8
2103,"121","Fell in Love With a Girl",9
2104,"121","Cannon",10
2105,"121","Lord, Send Me An Angel",11
2106,"121","Lovesick",12
2107,"121","I Think I Smell a Rat",13
2108,"121","Jimmy The Exploder",14
2109,"121","Do",15
2110,"121","We’re Going To Be Friends",16
2111,"121","Astro",17
2112,"121","Jack The Ripper (Screaming Lord Sutch)",18
2113,"121","St. James Infirmary Blues",19
2114,"121","You’re Pretty Good Looking",20
2115,"121","Hello Operator",21
2116,"121","Offend in Every Way",22
2117,"121","I’m Finding it Harder To Be A Gentleman",23
2118,"121","Screwdriver",24
2119,"121","I’m Bored",25
2120,"121","Boll Weevil (Leadbelly)",26
2121,"122","Little Room",0
2122,"122","Dead Leaves and the Dirty Ground",1
2123,"122","I Think I Smell a Rat",2
2124,"122","When I Hear My Name",3
2125,"122","Jolene (Dolly Parton)",4
2126,"122","Hotel Yorba",5
2127,"122","Ball and Biscuit",6
2128,"122","Apple Blossom",7
2129,"122","Death Letter (Son House) â Motherless Children (Son House)",8
2130,"122","Love Sick (Bob Dylan)",9
2131,"122","Astro â Jack the Ripper (Screaming Lord Sutch)",10
2132,"122","We’re Going to Be Friends",11
2133,"122","Jimmy the Exploder",12
2134,"122","Rated X (Loretta Lynn)",13
2135,"122","The Union Forever",14
2136,"122","Canon â Pick a Bail of Cotton (Son House)",15
2137,"122","Baby Blue (G. Vincent)",16
2138,"122","Boll Weevil (Trad.)",17
2139,"123","Hotel Yorba",0
2140,"123","Love Sick",1
2141,"123","Astro/Jack The Ripper (Screaming Lord Sutch)",2
2142,"123","Cannon",3
2143,"123","Death Letter (Son House)/Motherless Children Have a Hard Time",4
2144,"123","Fell in Love With a Girl",5
2145,"123","St. James Infirmiary",6
2146,"123","Apple Blossom",7
2147,"123","We’re Going to be Friends",8
2148,"123","Offend in Every Way/Rated X (Lynn)",9
2149,"123","You’re Pretty Good Looking",10
2150,"124","Dead Leaves and the Dirty Ground",0
2151,"124","I Think I Smell A Rat",1
2152,"124","When I hear My Name",2
2153,"124","Isis (Dylan)",3
2154,"124","Hotel Yorba",4
2155,"124","Jimmy The Exploder",5
2156,"124","Farmer John",6
2157,"124","Ball and Biscuit",7
2158,"124","Good To Me",8
2159,"124","Lord, Send Me An Angel",9
2160,"124","Apple Blossom",10
2161,"124","You’re Pretty Good Looking",11
2162,"124","Hello Operator",12
2163,"124","Stop Breaking Down",13
2164,"124","We’re Going To Be Freinds",14
2165,"124","Fell In Love With A Girl",15
2166,"124","Cannon",16
2167,"124","Look Me Over Closely",17
2168,"124","Little Room",18
2169,"124","The Union Forever",19
2170,"124","Screwdriver",20
2171,"124","Let’s Biuld A Home",21
2172,"124","Going Back To Memphis",22
2173,"125","Dead Leaves and the Dirty Ground",0
2174,"125","I Think I Smell a Rat",1
2175,"125","Let’s Shake Hands",2
2176,"125","When I Hear My Name",3
2177,"125","Jolene (D.Parton)",4
2178,"125","Death Letter (Son House)/John The Revelator",5
2179,"125","Stop Breaking Down",6
2180,"125","Isis (Dylan)",7
2181,"125","We’re Going To Be Friends",8
2182,"125","Apple Blossom",9
2183,"125","Hotel Yorba",10
2184,"125","Wasting My Time",11
2185,"125","Fell In Love With A Girl",12
2186,"125","Expecting",13
2187,"125","You’re Pretty Good Looking",14
2188,"125","I’m Finding It Harder To Be A Gentleman",15
2189,"125","Little Room",16
2190,"125","Union Forever",17
2191,"125","St. James Infirmary",18
2192,"125","Look Me Over Closely",19
2193,"125","I Fought Piranhas",20
2194,"125","Let’s Build a Home/Goin’ Back To Memphis",21
2195,"126","Dead Leaves and the Dirty Ground",0
2196,"126","When I Hear My Name",1
2197,"126","I Think I Smell a Rat",2
2198,"126","Jolene (D. Parton)",3
2199,"126","Hotel Yorba",4
2200,"126","Lord, Send Me an Angel (Blind Willie McTell)",5
2201,"126","Ball and Biscuit",6
2202,"126","Apple Blossom",7
2203,"126","Good to Me (B. Benson)",8
2204,"126","Isis (B. Dylan)",9
2205,"126","Canon",10
2206,"126","Death Letter (Son House)",11
2207,"126","Wasting My Time",12
2208,"126","Rated X (Loretta Lynn)",13
2209,"126","Fell In Love With A Girl",14
2210,"126","Look Me Over Closely (T. Gilkyson)",15
2211,"126","Little Room",16
2212,"126","The Union Forever",17
2213,"126","Sister, Do You Know My Name?",18
2214,"126","You’re Pretty Good Looking",19
2215,"126","Hello Operator",20
2216,"126","We’re Going to Be Friends",21
2217,"126","Love Sick (Bob Dylan)",22
2218,"126","Astro â Jack the Ripper (Screaming Lord Sutch)",23
2219,"126","Screwdriver",24
2220,"126","ENCORE:",26
2221,"126","Boll Weevil (Trad.)",27
2222,"127","Little Room",0
2223,"127","Dead Leaves and the Dirty Ground",1
2224,"127","Let’s Build A Home",2
2225,"127","Jolene (D.Parton)",3
2226,"127","Hotel Yorba",4
2227,"127","Apple Blossom",5
2228,"127","Isis (Dylan)",6
2229,"127","Death Letter (Son House)",7
2230,"127","Jimmy The Exploder",8
2231,"127","I Think I Smell A Rat",9
2232,"127","We’re Going To Be Friends",10
2233,"127","Ball and Biscuit",11
2234,"127","Astro/Jack The Ripper (Screaming Lord Sutch)",12
2235,"127","Farmer John/Look Me Over Closely",13
2236,"127","Truth Doesn’t Make A Noise",14
2237,"127","Pretty Good Looking",15
2238,"127","Rated X (Lynn)",16
2239,"127","Screwdriver",17
2240,"127","Boll Weevil (Leadbelly)",18
2241,"128","Dead Leaves and the Dirty Ground",0
2242,"128","Let’s Shake Hands",1
2243,"128","I Think I Smell A Rat",2
2244,"128","Lovesick",3
2245,"128","Hotel Yorba",4
2246,"128","Your Southern Can Is Mine",5
2247,"128","Sugar Never Tasted So Good",6
2248,"128","Apple Blossom",7
2249,"128","Your Pretty Good Looking (full lounge version)",8
2250,"128","Hello Operator",9
2251,"128","The Big Three",10
2252,"128","Stop Breaking Down",11
2253,"128","Lafayette Blues",12
2254,"128","We’re Going To Be Friends",13
2255,"128","Offend In Every Way",14
2256,"128","Good To Me",15
2257,"128","Ball and Biscuit",16
2258,"128","Suzy Lee",17
2259,"128","Let’s Build A Home",18
2260,"128","House Of The Rising Sun",19
2261,"128","Fell In Love With A Girl",20
2262,"128","Cannon/Party of Special Things/Cannon",21
2263,"128","I’m Finding It Harder To Be A Gentleman/St. James Infirmary Blues",22
2264,"128","Screwdriver",23
2265,"128","Boll Weevil (Leadbelly)",24
2266,"129","Dead Leaves and the Dirty Ground",0
2267,"129","When I Hear My Name",1
2268,"129","Jolene (D.Parton)/I Think I Smell A Rat",2
2269,"129","Hotel Yorba/Apple Blossom",3
2270,"129","Lord, Send Me An Angel",4
2271,"129","Good To Me",5
2272,"129","Ball and Biscuit",6
2273,"129","Lovesick",7
2274,"129","Death Letter (Son House)",8
2275,"129","Motherless Children Have A Hard Time",9
2276,"129","Little Bird",10
2277,"129","The Same Boy You’ve Always Known",11
2278,"129","We’re Going To Be Friends",12
2279,"129","Astro/Jack The Ripper (Screaming Lord Sutch)/Farmer John, I’m In Love With Your Daughter",13
2280,"129","Look Me Over Closely",14
2281,"129","Sugar Never Tasted So Good",15
2282,"129","Cannon/Grinnin’ In Your Face",16
2283,"129","You’re Pretty Good Looking",17
2284,"129","Little Room",18
2285,"129","The Union Forever",19
2286,"129","Boll Weevil (Leadbelly)",20
2287,"130","Dead Leaves and the Dirty Ground",0
2288,"130","When I Hear My Name",1
2289,"130","I Think I Smell Like A Rat",2
2290,"130","Jolene (D.Parton)",3
2291,"130","Hotel Yorba",4
2292,"130","Apple Blossom",5
2293,"130","Death Letter (Son House)",6
2294,"130","?",7
2295,"130","Astro/?",8
2296,"130","The Big Three Killed My Baby",9
2297,"130","We’re Going To Be Friends",10
2298,"130","?",11
2299,"130","Fell In Love With A Girl",12
2300,"130","Little Room",13
2301,"130","The Union Forever",14
2302,"130","?",15
2303,"130","Screwdriver",16
2304,"131","Dead Leaves and the Dirty Ground",0
2305,"131","When I Hear My Name",1
2306,"131","I Think I Smell a Rat",2
2307,"131","Jolene (D.Parton)",3
2308,"131","Hotel Yorba",4
2309,"131","Apple Blossom",5
2310,"131","Lord, Send Me an Angel",6
2311,"131","Let’s Shake Hands",7
2312,"131","Ball and Biscuit",8
2313,"131","We’re Going to be Friends",9
2314,"131","Lovesick",10
2315,"131","Fell in Love With a Girl",11
2316,"131","Cannon/Pick a Bail of Cotton",12
2317,"131","Astro",13
2318,"131","Jack The Ripper (Screaming Lord Sutch)",14
2319,"131","Death Letter (Son House)/Motherless Children Have a Hard Time",15
2320,"131","Screwdriver",16
2321,"131","Boll Weevil (Leadbelly)",17
2322,"132","Dead Leaves and the Dirty Ground",0
2323,"132","Let’s Shake Hands",1
2324,"132","I Think I Smell a Rat",2
2325,"132","Jolene (D.Parton)",3
2326,"132","Jimmy the Exploder",4
2327,"132","Hotel Yorba",5
2328,"132","Apple Blossom",6
2329,"132","Isis (Dylan)",7
2330,"132","Ball and Biscuit",8
2331,"132","Wasting My Time",9
2332,"132","Truth Doesn’t Make a Noise",10
2333,"132","We’re Going to be Friends",11
2334,"132","Rated X (Lynn)",12
2335,"132","Astro",13
2336,"132","Jack The Ripper (Screaming Lord Sutch)",14
2337,"132","Farmer John, I’m In Love With Your Daughter",15
2338,"132","The Big Three Killed My Baby",16
2339,"132","Party of Special Things to Do",17
2340,"132","Fell in Love With a Girl",18
2341,"132","St. James Infirmary Blues",19
2342,"132","Let’s Build a Home",20
2343,"132","Goin’ Back to Memphis",21
2344,"132","The Object of My Affection",22
2345,"132","You’re Pretty Good Looking",23
2346,"132","Hello Operator",24
2347,"132","Screwdriver",25
2348,"132","Boll Weevil (Leadbelly)",26
2349,"133","When I Hear My Name",0
2350,"133","I Think I Smell A Rat",1
2351,"133","Jolene (D.Parton)",2
2352,"133","Dead Leaves and the Dirty Ground",3
2353,"133","Apple Blossom",4
2354,"133","Hotel Yorba",5
2355,"133","Isis (Dylan)",6
2356,"133","Death Letter (Son House)",7
2357,"133","Little Room",8
2358,"133","The Union Forever",9
2359,"133","Rated X (Lynn)",10
2360,"133","Astro/Jack The Ripper (Screaming Lord Sutch)/Farmer John",11
2361,"133","We’re Going To Be Friends",12
2362,"133","Offend In Every Way/Wayfarin’ Stranger/Cannon",13
2363,"133","Screwdriver",14
2364,"133","Boll Weevil (Leadbelly)",15
2365,"134","Dead Leaves and the Dirty Ground",0
2366,"134","When I Hear My Name",1
2367,"134","I Think I Smell A Rat",2
2368,"134","Jolene (D.Parton)",3
2369,"134","Hotel Yorba",4
2370,"134","Apple Blossom",5
2371,"134","Jimmy The Exploder",6
2372,"134","Wayfaring Stranger",7
2373,"134","Cannon",8
2374,"134","For The Love Of Ivy",9
2375,"134","Death Letter (Son House)/Motherless Children Have A Hard Time",10
2376,"134","Lovesick",11
2377,"134","Screwdriver/Peggy Sue",12
2378,"135","Let’s Shake Hands",0
2379,"135","Dead Leaves and the Dirty Ground",1
2380,"135","I Think I Smell a Rat",2
2381,"135","Look Me Over Closely",3
2382,"135","Hotel Yorba",4
2383,"135","You’re Pretty Good Looking",5
2384,"135","St. James Infirmary Blues",6
2385,"135","The Big Three Killed My Baby",7
2386,"135","Jimmy the Exploder",8
2387,"135","Wasting My Time",9
2388,"135","I’m Finding It Harder to be a Gentleman",10
2389,"135","Lord, Send Me an Angel",11
2390,"135","I Fought Piranhas",12
2391,"135","Let’s Build a Home/Goin’ Back to Memphis",13
2392,"135","Isis (Dylan)",14
2393,"135","We’re Going to Be Friends",15
2394,"135","Astro/Jack The Ripper (Screaming Lord Sutch)",16
2395,"136","Hotel Yorba",0
2396,"136","Apple Blossom",1
2397,"136","Lafayette Blues",2
2398,"136","Ball and Biscuit",3
2399,"136","Jolene (D.Parton)",4
2400,"136","This Protector",5
2401,"136","Let’s Shake Hands",6
2402,"136","Rated X (Lynn)",7
2403,"136","Astro",8
2404,"136","Jack The Ripper (Screaming Lord Sutch)",9
2405,"136","Death Letter (Son House)",10
2406,"136","Little Room",11
2407,"136","The Union Forever",12
2408,"136","We’re Going to Be Friends",13
2409,"136","Screwdriver",14
2410,"137","Dead Leaves and the Dirty Ground",0
2411,"138","The Big Three Killed My Baby",0
2412,"138","Dead Leaves and the Dirty Ground",1
2413,"138","Jolene (D.Parton)",2
2414,"138","Apple Blossom/You’re Pretty Good Looking",3
2415,"138","Hello Operator",4
2416,"138","Lord, Send Me An Angel",5
2417,"138","Hotel Yorba",6
2418,"138","Lovesick",7
2419,"138","We’re Going To Be Friends",8
2420,"138","Rated X (Lynn)",9
2421,"138","Sugar Never Tasted So Good",10
2422,"138","Death Letter (Son House)",11
2423,"138","Astro/Farmer John, I’m In Love With Your Daughter/Louie Louie/Screwdriver/St. James Infirmary Blues/Screwdriver/Teenage Heard/Screwdriver/Grinnin’ In Your Face/Screwdriver/For The Love Of Ivy",12
2424,"138","Boll Weevil (Leadbelly)",13
2425,"139","Dead Leaves and the Dirty Ground",0
2426,"139","We’re Going To Be Friends",1
2427,"140","In My Time Of Dying",0
2428,"140","Blackjack Davey",1
2429,"140","You’ve Got Her In Your Pocket",2
2430,"140","In The Cold, Cold Night",3
2431,"140","Hotel Yorba",4
2432,"141","Black Math",0
2433,"141","Dead Leaves and the Dirty Ground",1
2434,"141","I Think I Smell A Rat",2
2435,"141","In The Cold, Cold Night",3
2436,"141","Jolene (D. Parton)",4
2437,"141","Hotel Yorba",5
2438,"141","Small faces",6
2439,"141","You’re Pretty Good Looking",7
2440,"141","Apple Blossom",8
2441,"141","Hello Operator",9
2442,"141","We’re Going To Be Friends",10
2443,"141","""Everywhere I Go""",11
2444,"141","Seven Nation Army",12
2445,"141","I Want To Be The Boy",13
2446,"141","Ball and Biscuit",14
2447,"141","Hardest Button To Button",15
2448,"141","Good To Me",16
2449,"141","Death Letter",17
2450,"141","Let’s Build A Home/Goin’ Back To Memphis",18
2451,"141","The Union Forever",19
2452,"141","Boll Weevil (Leadbelly)",20
2453,"142","Black Math",0
2454,"142","Take A Whiff On Me",1
2455,"142","Dead Leaves and the Dirty Ground",2
2456,"142","The Hardest Button To Button",3
2457,"142","I Think I Smell A Rat/Ballad Of Hollis Brown",4
2458,"142","Jolene (D.Parton)",5
2459,"142","You’re Pretty Good Looking",6
2460,"142","Hotel Yorba",7
2461,"142","Seven Nation Army",8
2462,"142","I Want To Be The Boy To Warm Your Mother’s Heart",9
2463,"142","Ball and Biscuit",10
2464,"142","Five String Serenade",11
2465,"142","Hypnotize",12
2466,"142","The Big Three Killed My Baby",13
2467,"142","Wasting My Time",14
2468,"142","Do",15
2469,"142","Cannon/John The Revelator",16
2470,"142","Let’s Shake Hands",17
2471,"142","You’ve Got Her In Your Pocket",18
2472,"142","Good To Me",19
2473,"142","Apple Blossom",20
2474,"142","Lord, Send Me An Angel",21
2475,"142","Astro/Jack The Ripper (Screaming Lord Sutch)",22
2476,"142","Small Faces",23
2477,"142","Death Letter (Son House)/Grinnin’ In Your Face",24
2478,"143","Little Room",0
2479,"143","Dead Leaves and the Dirty Ground",1
2480,"143","Black Math",2
2481,"143","The Hardest Button to Button",3
2482,"143","I Want To Be The Boy To Warm Your Mother’s Heart",4
2483,"143","Death Letter (Son House)",5
2484,"143","Good To Me",6
2485,"143","I Think I Smell A Rat",7
2486,"143","Jolene (D.Parton)",8
2487,"143","In The Cold, Cold Night",9
2488,"143","I Just Don’t Know What To Do With Myself (Bacharach)",10
2489,"143","Astro/Jack The Ripper (Screaming Lord Sutch)",11
2490,"143","Seven Nation Army",12
2491,"143","We’re Going To Be Friends",13
2492,"143","Hotel Yorba",14
2493,"143","Apple Blossom",15
2494,"143","You’re Pretty Good Looking",16
2495,"143","Small Faces",17
2496,"143","Lafayette Blues",18
2497,"143","Lord, Send Me An Angel",19
2498,"143","You’ve Got Her In Your Pocket",20
2499,"143","Ball and Biscuit",21
2500,"143","Screwdriver",22
2501,"143","Boll Weevil (Leadbelly)",23
2502,"144","Black Math",0
2503,"144","I Think I Smell A Rat/Take A Whiff On Me",1
2504,"144","Dead Leaves and the Dirty Ground",2
2505,"144","Jolene (D.Parton)",3
2506,"144","The Hardest Button to Button",4
2507,"144","Good To Me",5
2508,"144","In The Cold, Cold Night",6
2509,"144","I Want To Be The Boy To Warm Your Mother’s Heart",7
2510,"144","Seven Nation Army",8
2511,"144","Death Letter (Son House)/Motherless Children Have A Hard Time",9
2512,"144","I Just Don’t Know What To Do With Myself (Bacharach)",10
2513,"144","Everywhere I Go I’m Always There",11
2514,"144","Hotel Yorba",12
2515,"144","You’re Pretty Good Looking",13
2516,"144","Apple Blossom",14
2517,"144","Astro/Jack The Ripper (Screaming Lord Sutch)",15
2518,"144","St. James Infirmary Blues",16
2519,"144","We’re Going To Be Friends",17
2520,"144","Isis (Dylan)",18
2521,"144","Offend In Every Way",19
2522,"144","Wasting My Time",20
2523,"144","Cannon",21
2524,"144","Screwdriver",22
2525,"144","The Union Forever",23
2526,"144","Boll Weevil (Leadbelly)",24
2527,"145","Black Math",0
2528,"145","Dead Leaves and the Dirty Ground",1
2529,"145","I Think I Smell A Rat",2
2530,"145","Jolene (D. Parton)",3
2531,"145","Hotel Yorba",4
2532,"145","Let’s Shake Hands",5
2533,"145","Five String Serenade",6
2534,"145","Ball and Biscuit",7
2535,"145","Lord, Send Me an Angel",8
2536,"145","Good To Me",9
2537,"145","Cannon",10
2538,"145","Astro/Jack the Ripper",11
2539,"145","Seven Nation Army",12
2540,"145","I Want To Be The Boy To Warm Your Mother’s Heart",13
2541,"145","Death Letter (Son House)/Motherless Children Have a Hard Time",14
2542,"145","You’re Pretty Good Looking",15
2543,"145","St. James Infirmary Blues/Dyin’ Crapshooter’s Blues(McTell)",16
2544,"145","The Union Forever",17
2545,"145","I Just Don’t Know What To Do With Myself (Bacharach/David)",18
2546,"145","In The Cold, Cold Night",19
2547,"145","The Hardest Button To Button",20
2548,"145","We’re Going To Be Friends",21
2549,"145","Small Faces",22
2550,"145","Screwdriver",23
